t_s,T_die,T_pkg,T_hs,freq_GHz,power_W,proj_perf,variant,T_little,workload_big
285.0,74.46482786684366,57.21540940828925,25.0,3.0,3.5,3.008676,2node_aggressive,,
290.0,74.7053570382702,57.43577602365037,25.0,3.0,3.5,3.008676,2node_aggressive,,
295.0,74.9266557602116,57.63873943056041,25.0,3.0,3.5,3.008676,2node_aggressive,,
300.0,75.1303810324805,57.825648460054495,25.0,2.8,3.5,2.812458,2node_aggressive,,
305.0,73.02374895665197,57.756163927705316,25.0,2.8,2.8,2.812458,2node_aggressive,,
310.0,72.1186698659361,57.47114688233928,25.0,2.8,2.8,2.812458,2node_aggressive,,
315.0,71.58813078798575,57.14399277239169,25.0,2.8,2.8,2.812458,2node_aggressive,,
320.0,71.18824900575541,56.82379775415908,25.0,2.8,2.8,2.812458,2node_aggressive,,
325.0,70.84597316183289,56.52340557316425,25.0,2.8,2.8,2.812458,2node_aggressive,,
330.0,70.53838776095508,56.245169409207705,25.0,2.8,2.8,2.812458,2node_aggressive,,
335.0,70.25737391448423,55.98848306656041,25.0,2.8,2.8,2.812458,2node_aggressive,,
340.0,69.99925556960322,55.75197661951393,25.0,3.0,2.8,3.008676,2node_aggressive,,
345.0,72.05597443832413,55.77575258705174,25.0,3.0,3.5,3.008676,2node_aggressive,,
350.0,72.91514236583305,56.018668400416665,25.0,3.0,3.5,3.008676,2node_aggressive,,
355.0,73.40341946599915,56.30705076291356,25.0,3.0,3.5,3.008676,2node_aggressive,,
360.0,73.76438903578106,56.591542215821185,25.0,3.0,3.5,3.008676,2node_aggressive,,
365.0,74.07083418021789,56.85905680075914,25.0,3.0,3.5,3.008676,2node_aggressive,,
370.0,74.34542556205982,57.10701783148664,25.0,3.0,3.5,3.008676,2node_aggressive,,
375.0,74.596057257705,57.335825553100264,25.0,3.0,3.5,3.008676,2node_aggressive,,
380.0,74.82619849078434,57.546660203433966,25.0,3.0,3.5,3.008676,2node_aggressive,,
385.0,75.03793157575986,57.74084618027997,25.0,2.8,3.5,2.812458,2node_aggressive,,
390.0,72.93863398657058,57.67807098693753,25.0,2.8,2.8,2.812458,2node_aggressive,,
395.0,72.04029725090378,57.399234644905775,25.0,2.8,2.8,2.812458,2node_aggressive,,
400.0,71.51596343383522,57.07777270457276,25.0,2.8,2.8,2.812458,2node_aggressive,,
405.0,71.12179472393696,56.76281948334473,25.0,2.8,2.8,2.812458,2node_aggressive,,
410.0,70.78477942431235,56.46725422815491,25.0,2.8,2.8,2.812458,2node_aggressive,,
415.0,70.4820380659364,56.193462915665464,25.0,2.8,2.8,2.812458,2node_aggressive,,
420.0,70.20548478978873,55.9408695817941,25.0,2.8,2.8,2.812458,2node_aggressive,,
425.0,69.95147391569837,55.70813214844142,25.0,3.0,2.8,3.008676,2node_aggressive,,
430.0,72.01197511165941,55.73537878047435,25.0,3.0,3.5,3.008676,2node_aggressive,,
435.0,72.8746259622527,55.98149052570407,25.0,3.0,3.5,3.008676,2node_aggressive,,
440.0,73.36611028218569,56.27281583477764,25.0,3.0,3.5,3.008676,2node_aggressive,,
445.0,73.73003319282022,56.56001727489442,25.0,3.0,3.5,3.008676,2node_aggressive,,
450.0,74.03919789591939,56.830027328391374,25.0,3.0,3.5,3.008676,2node_aggressive,,
455.0,74.31629356010325,57.08028629001024,25.0,3.0,3.5,3.008676,2node_aggressive,,
460.0,74.56923130273424,57.311210041642035,25.0,3.0,3.5,3.008676,2node_aggressive,,
465.0,74.80149603946718,57.523993220129455,25.0,3.0,3.5,3.008676,2node_aggressive,,
470.0,75.01518453462958,57.71997348246918,25.0,2.8,3.5,2.812458,2node_aggressive,,
475.0,72.91768756819526,57.65885054158545,25.0,2.8,2.8,2.812458,2node_aggressive,,
480.0,72.02100892060002,57.38153566210632,25.0,2.8,2.8,2.812458,2node_aggressive,,
485.0,71.49820193975829,57.06147474755887,25.0,2.8,2.8,2.812458,2node_aggressive,,
490.0,71.10543920394755,56.74781164894902,25.0,2.8,2.8,2.812458,2node_aggressive,,
495.0,70.76971858354275,56.45343439214371,25.0,2.8,2.8,2.812458,2node_aggressive,,
500.0,70.46816941945893,56.18073703781128,25.0,2.8,2.8,2.812458,2node_aggressive,,
505.0,70.19271396523386,55.92915106595723,25.0,2.8,2.8,2.812458,2node_aggressive,,
510.0,69.93971401107645,55.69734125330693,25.0,3.0,2.8,3.008676,2node_aggressive,,
515.0,72.00114610401602,55.72544207693406,25.0,3.0,3.5,3.008676,2node_aggressive,,
520.0,72.86465416313428,55.972340397191346,25.0,3.0,3.5,3.008676,2node_aggressive,,
525.0,73.35692783620992,56.2643900171551,25.0,3.0,3.5,3.008676,2node_aggressive,,
530.0,73.72157761593809,56.552258432763495,25.0,3.0,3.5,3.008676,2node_aggressive,,
535.0,74.03141165022866,56.82288266494036,25.0,3.0,3.5,3.008676,2node_aggressive,,
540.0,74.30912366231846,57.073707187746415,25.0,3.0,3.5,3.008676,2node_aggressive,,
545.0,74.56262896364986,57.3051517315628,25.0,3.0,3.5,3.008676,2node_aggressive,,
550.0,74.7954163319604,57.518414477081514,25.0,3.0,3.5,3.008676,2node_aggressive,,
555.0,75.00958608794336,57.7148363446225,25.0,2.8,3.5,2.812458,2node_aggressive,,
560.0,72.9125322864217,57.65412005211334,25.0,2.8,2.8,2.812458,2node_aggressive,,
565.0,72.01626172344804,57.37717963131377,25.0,2.8,2.8,2.812458,2node_aggressive,,
570.0,71.49383052384154,57.057463533840384,25.0,2.8,2.8,2.812458,2node_aggressive,,
575.0,71.10141382296892,56.744117957085585,25.0,2.8,2.8,2.812458,2node_aggressive,,
580.0,70.76601184587888,56.450033087566204,25.0,2.8,2.8,2.812458,2node_aggressive,,
585.0,70.46475610176763,56.177604975566595,25.0,2.8,2.8,2.812458,2node_aggressive,,
590.0,70.18957084081607,55.926266933213164,25.0,2.8,2.8,2.812458,2node_aggressive,,
595.0,69.93681969182484,55.69468542432411,25.0,3.0,2.8,3.008676,2node_aggressive,,
0.0,39.708514101309106,26.372123804773757,25.08528608520637,3.3,4.5,3.2702999999999998,3node_balanced,,
5.0,46.30835540907841,28.49155600903877,25.444765034184748,3.3,4.5,3.2702999999999998,3node_balanced,,
10.0,49.998340827260776,30.40233053037942,26.043054937748558,3.3,4.5,3.2702999999999998,3node_balanced,,
15.0,52.44631662194049,32.015400651212104,26.792435797406064,3.3,4.5,3.2702999999999998,3node_balanced,,
20.0,54.275938786922964,33.39977070816363,27.624581100013714,3.3,4.5,3.2702999999999998,3node_balanced,,
25.0,55.762103060728805,34.627232140951065,28.49536572639203,3.3,4.5,3.2702999999999998,3node_balanced,,
30.0,57.042890223820514,35.74815046888095,29.378130364000075,3.3,4.5,3.2702999999999998,3node_balanced,,
35.0,58.193553147519324,36.79441377121092,30.257284151239457,3.3,4.5,3.2702999999999998,3node_balanced,,
40.0,59.256979082105026,37.78555787472383,31.12392807778612,3.3,4.5,3.2702999999999998,3node_balanced,,
45.0,60.25822818797902,38.73348353699508,31.97312996323047,3.3,4.5,3.2702999999999998,3node_balanced,,
50.0,61.212201500243275,39.64550972456992,32.8022869865967,3.3,4.5,3.2702999999999998,3node_balanced,,
55.0,62.1279150537117,40.52623680361933,33.61015609937158,3.3,4.5,3.2702999999999998,3node_balanced,,
60.0,63.010947898937644,41.378657304649614,34.39628357475297,3.3,4.5,3.2702999999999998,3node_balanced,,
65.0,63.864861989885334,42.204811733574736,35.16067038521592,3.3,4.5,3.2702999999999998,3node_balanced,,
70.0,64.69203048378502,43.00617423177515,35.903576236924216,3.3,4.5,3.2702999999999998,3node_balanced,,
75.0,65.49412223625023,43.783879046352304,36.62540495301271,3.3,4.5,3.2702999999999998,3node_balanced,,
80.0,66.27238560072003,44.538853504220455,37.326637536907086,3.3,4.5,3.2702999999999998,3node_balanced,,
85.0,67.0278148393117,45.27189615032198,38.00779316800053,3.3,4.5,3.2702999999999998,3node_balanced,,
90.0,67.76124781021564,45.983722742153006,38.66940655563534,3.3,4.5,3.2702999999999998,3node_balanced,,
95.0,68.47342340413599,46.67499340503303,39.31201487010354,3.3,4.5,3.2702999999999998,3node_balanced,,
100.0,69.16501539956576,47.34632874470474,39.93615027810338,3.3,4.5,3.2702999999999998,3node_balanced,,
105.0,69.83665249953035,47.998319485249745,40.54233575568023,3.3,4.5,3.2702999999999998,3node_balanced,,
110.0,70.48893026808636,48.631532308494826,41.131082815703586,3.3,4.5,3.2702999999999998,3node_balanced,,
115.0,71.1224183162183,49.24651346275778,41.702890351646765,3.3,4.5,3.2702999999999998,3node_balanced,,
120.0,71.73766469939288,49.84379105951145,42.258244130232576,3.3,4.5,3.2702999999999998,3node_balanced,,
125.0,72.33519867636106,50.42387659620364,42.79761665927733,3.3,4.5,3.2702999999999998,3node_balanced,,
130.0,72.91553250276164,50.987266020671406,43.32146727056658,3.3,4.5,3.2702999999999998,3node_balanced,,
135.0,73.4791626542262,51.53444052207198,43.830242324077844,3.3,4.5,3.2702999999999998,3node_balanced,,
140.0,74.02657071033876,52.06586715679602,44.324375478804704,3.3,4.5,3.2702999999999998,3node_balanced,,
145.0,74.55822403511151,52.58199937303797,44.804287998243076,3.3,4.5,3.2702999999999998,3node_balanced,,
150.0,75.07457633358436,53.08327747145774,45.27038907195573,3.0,4.5,3.008676,3node_balanced,,
155.0,72.30750944213342,53.26521262293098,45.70412367907109,3.0,3.5,3.008676,3node_balanced,,
160.0,71.3279371133668,53.26706792852032,46.063898556920364,3.0,3.5,3.008676,3node_balanced,,
165.0,70.9809821249239,53.30168355891074,46.357951274016294,3.0,3.5,3.008676,3node_balanced,,
170.0,70.8964154160553,53.38923931991403,46.606139301247104,3.0,3.5,3.008676,3node_balanced,,
175.0,70.93603858355502,53.51478128281182,46.82399996988767,3.0,3.5,3.008676,3node_balanced,,
180.0,71.03914421850665,53.66272521196701,47.0216823475396,3.0,3.5,3.008676,3node_balanced,,
185.0,71.17541727959949,53.822237553499335,47.20544432734424,3.0,3.5,3.008676,3node_balanced,,
190.0,71.32849384406427,53.986580524419864,47.379074546551436,3.0,3.5,3.008676,3node_balanced,,
195.0,71.48919201769989,54.151751257598136,47.54486524022306,3.0,3.5,3.008676,3node_balanced,,
200.0,71.6522814482099,54.31543382777378,47.70421806970967,3.0,3.5,3.008676,3node_balanced,,
205.0,71.81477962224547,54.47632102580255,47.858008265505525,3.0,3.5,3.008676,3node_balanced,,
210.0,71.97500234052639,54.633700588643634,48.00680034408863,3.0,3.5,3.008676,3node_balanced,,
215.0,72.13201998678139,54.787208627227976,48.15097512056408,3.0,3.5,3.008676,3node_balanced,,
220.0,72.28534226175522,54.93668414749622,48.29080430795389,3.0,3.5,3.008676,3node_balanced,,
225.0,72.43473437352588,55.08208359758771,48.426494296991834,3.0,3.5,3.008676,3node_balanced,,
230.0,72.58010962145997,55.223430783354026,48.55821185172269,3.0,3.5,3.008676,3node_balanced,,
235.0,72.72146657201314,55.360787553820614,48.686099203058795,3.0,3.5,3.008676,3node_balanced,,
240.0,72.85885231390304,55.494236665624946,48.8102829288526,3.0,3.5,3.008676,3node_balanced,,
245.0,72.99234097838382,55.623871783919114,48.93087919267745,3.0,3.5,3.008676,3node_balanced,,
250.0,73.12202119759645,55.74979166338667,49.04799684844417,3.0,3.5,3.008676,3node_balanced,,
255.0,73.24798879678734,55.87209677698243,49.16173929381633,3.0,3.5,3.008676,3node_balanced,,
260.0,73.3703425511061,55.990887377466976,49.27220558969448,3.0,3.5,3.008676,3node_balanced,,
265.0,73.48918173643023,56.1062623972032,49.379491148807894,3.0,3.5,3.008676,3node_balanced,,
270.0,73.60460473002591,56.21831883797294,49.48368817095589,3.0,3.5,3.008676,3node_balanced,,
275.0,73.71670822515586,56.32715144684864,49.584885928924905,3.0,3.5,3.008676,3node_balanced,,
280.0,73.82558680433245,56.43285255867007,49.683170966044905,3.0,3.5,3.008676,3node_balanced,,
285.0,73.93133272169814,56.53551203518373,49.778627241120134,3.0,3.5,3.008676,3node_balanced,,
290.0,74.0340358069747,56.63521725990032,49.87133624169329,3.0,3.5,3.008676,3node_balanced,,
295.0,74.13378343972042,56.73205316471236,49.96137707794337,3.0,3.5,3.008676,3node_balanced,,
300.0,74.23066056389324,56.82610227426348,50.04882656444648,3.0,3.5,3.008676,3node_balanced,,
305.0,74.32474972517149,56.91744475988814,50.133759294057114,3.0,3.5,3.008676,3node_balanced,,
310.0,74.41613112077597,57.006158498352704,50.216247706425825,3.0,3.5,3.008676,3node_balanced,,
315.0,74.5048826558112,57.09231913262809,50.296362152648676,3.0,3.5,3.008676,3node_balanced,,
320.0,74.59108000264321,57.17600013309371,50.37417095694504,3.0,3.5,3.008676,3node_balanced,,
325.0,74.67479666129734,57.257272858257,50.44974047591011,3.0,3.5,3.008676,3node_balanced,,
330.0,74.75610401971649,57.336206614473795,50.523135155680585,3.0,3.5,3.008676,3node_balanced,,
335.0,74.835071413221,57.412868714388004,50.59441758723214,3.0,3.5,3.008676,3node_balanced,,
340.0,74.91176618280633,57.48732453394634,50.66364855995457,3.0,3.5,3.008676,3node_balanced,,
345.0,74.98625373208387,57.5596375679223,50.730887113608546,3.0,3.5,3.008676,3node_balanced,,
350.0,75.05859758277133,57.629869483930676,50.796190588742164,2.8,3.5,2.812458,3node_balanced,,
355.0,72.84086834627058,57.484638694196114,50.84634795126482,2.8,2.8,2.812458,3node_balanced,,
360.0,71.88246612467672,57.221196875557176,50.85202778980552,2.8,2.8,2.812458,3node_balanced,,
365.0,71.3747442603803,56.988306358368845,50.81878648780266,2.8,2.8,2.812458,3node_balanced,,
370.0,71.05831652025446,56.79987372369308,50.76032039744032,2.8,2.8,2.812458,3node_balanced,,
375.0,70.83622464252034,56.645218253956386,50.687307638215394,2.8,2.8,2.812458,3node_balanced,,
380.0,70.66576038090425,56.51322414856395,50.606660242301075,2.8,2.8,2.812458,3node_balanced,,
385.0,70.52549628163834,56.39610703835661,50.52257195361725,2.8,2.8,2.812458,3node_balanced,,
390.0,70.40377663111471,56.28895537597561,50.437513411909855,2.8,2.8,2.812458,3node_balanced,,
395.0,70.29397892062008,56.1887776705393,50.352912995856556,2.8,2.8,2.812458,3node_balanced,,
400.0,70.19225233869369,56.09376874401411,50.26958075287648,2.8,2.8,2.812458,3node_balanced,,
405.0,70.09632501708933,56.002834816102975,50.1879631532768,2.8,2.8,2.812458,3node_balanced,,
410.0,70.00483920617266,55.915303712728964,50.10829395035768,2.8,2.8,2.812458,3node_balanced,,
415.0,69.91697051058553,55.830752117457685,50.03068295164047,3.0,2.8,3.008676,3node_balanced,,
420.0,72.12019813731595,55.962345073161735,49.96843482906473,3.0,3.5,3.008676,3node_balanced,,
425.0,73.06485373655214,56.212699556425015,49.950931685171845,3.0,3.5,3.008676,3node_balanced,,
430.0,73.5594223721705,56.43297194344989,49.97264278797676,3.0,3.5,3.008676,3node_balanced,,
435.0,73.86319127451421,56.60920380913114,50.01988288485708,3.0,3.5,3.008676,3node_balanced,,
440.0,74.07305648854818,56.75204140035924,50.0819765446037,3.0,3.5,3.008676,3node_balanced,,
445.0,74.23168571271111,56.872576342232584,50.15200960593892,3.0,3.5,3.008676,3node_balanced,,
450.0,74.36047866391884,56.978574973777505,50.22578348052014,3.0,3.5,3.008676,3node_balanced,,
455.0,74.47107093789484,57.074934523371034,50.30082119714026,3.0,3.5,3.008676,3node_balanced,,
460.0,74.57006949983116,57.16463444494805,50.375687275138915,3.0,3.5,3.008676,3node_balanced,,
465.0,74.66131240538664,57.24946932137586,50.44956421141599,3.0,3.5,3.008676,3node_balanced,,
470.0,74.74706050504516,57.33052328434338,50.521997967639265,3.0,3.5,3.008676,3node_balanced,,
475.0,74.82866165082044,57.40845951285345,50.59274724878856,3.0,3.5,3.008676,3node_balanced,,
480.0,74.90693109570708,57.48369280730379,50.661694810493884,3.0,3.5,3.008676,3node_balanced,,
485.0,74.982372111444,57.55649146358022,50.72879541665107,3.0,3.5,3.008676,3node_balanced,,
490.0,75.05530466952177,57.6270371654925,50.79404534634512,2.8,3.5,2.812458,3node_balanced,,
495.0,72.83794961107407,57.48201865859067,50.84419781967712,2.8,2.8,2.812458,3node_balanced,,
500.0,71.87979505932718,57.21872884494608,50.84990050868071,2.8,2.8,2.812458,3node_balanced,,
505.0,71.37224594027099,56.985954227549335,50.81669756627564,2.8,2.8,2.812458,3node_balanced,,
510.0,71.05594626039077,56.79761557016302,50.7582782016134,2.8,2.8,2.812458,3node_balanced,,
515.0,70.83395549431577,56.64304048533846,50.68531637067166,2.8,2.8,2.812458,3node_balanced,,
520.0,70.66357580752945,56.511118073661414,50.604721686832285,2.8,2.8,2.812458,3node_balanced,,
525.0,70.52338586680726,56.394066857941084,50.52068649666217,2.8,2.8,2.812458,3node_balanced,,
530.0,70.40173356478633,56.286977005238334,50.43568064032461,2.8,2.8,2.812458,3node_balanced,,
535.0,70.2919985255853,56.18685804872708,50.351132046527376,2.8,2.8,2.812458,3node_balanced,,
540.0,70.1903312069023,56.09190542946267,50.2678505169841,2.8,2.8,2.812458,3node_balanced,,
545.0,70.09446050316305,56.00102574846466,50.18628239543457,2.8,2.8,2.812458,3node_balanced,,
550.0,70.00302913016507,55.91354707315485,50.10666137790008,2.8,2.8,2.812458,3node_balanced,,
555.0,69.91521298332903,55.829046246173895,50.0290972547252,3.0,2.8,3.008676,3node_balanced,,
560.0,72.11849145759273,55.9606884206812,49.966894703692134,3.0,3.5,3.008676,3node_balanced,,
565.0,73.06319633035217,56.21109065447608,49.94943584621143,3.0,3.5,3.008676,3node_balanced,,
570.0,73.55781275661846,56.431409387469174,49.97118997635316,3.0,3.5,3.008676,3node_balanced,,
575.0,73.86162803626,56.607686247543725,50.01847187132781,3.0,3.5,3.008676,3node_balanced,,
580.0,74.0715382706448,56.75056752784867,50.08060613155256,3.0,3.5,3.008676,3node_balanced,,
585.0,74.23021120647618,56.871144895360324,50.15067862801938,3.0,3.5,3.008676,3node_balanced,,
590.0,74.35904660372967,56.977184727991705,50.22449080463666,3.0,3.5,3.008676,3node_balanced,,
595.0,74.46968009771365,57.07358429084109,50.299565722053174,3.0,3.5,3.008676,3node_balanced,,
0.0,39.708514101309106,26.372123804773757,25.08528608520637,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
5.0,46.30835540907841,28.49155600903877,25.444765034184748,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
10.0,49.998340827260776,30.40233053037942,26.043054937748558,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
15.0,52.44631662194049,32.015400651212104,26.792435797406064,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
20.0,54.275938786922964,33.39977070816363,27.624581100013714,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
25.0,55.762103060728805,34.627232140951065,28.49536572639203,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
30.0,57.042890223820514,35.74815046888095,29.378130364000075,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
