
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005000                       # Number of seconds simulated (Second)
system.bigCluster.cpus.statFuBusy::SimdFloatAdd            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatAlu            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatCmp            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatCvt            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatDiv            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatMisc            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatMult            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatMultAcc            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatMatMultAcc            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatSqrt            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdReduceAdd            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdReduceAlu            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdReduceCmp            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatReduceAdd            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatReduceCmp            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdAes            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdAesMix            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdSha1Hash            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdSha1Hash2            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdSha256Hash            0      0.00%     53.48% # attempts to use FU when none available (Count)
